Date-Time,FEIc2-FEIc1_s,FEIc3-FEIc2_s,FEIc4-FEIc3_s,FEIc5-FEIc4_s,FEIc6-FEIc5_s,FEIc7-FEIc6_s,FEIc8-FEIc7_s,FEIc9-FEIc8_s,FEIc10-FEIc9_s,FEIc11-FEIc10_s,FEIc12-FEIc11_s,FEIc13-FEIc12_s,FEIc14-FEIc13_s,FEIc15-FEIc14_s,FEIc16-FEIc15_s
2006-05-11 00:00:00+00:00,-0.16,-0.075,-0.03,-0.195,0.105,-0.315,-0.125,-0.09,-0.06,-0.05,-0.035,-0.05,-0.04,-0.055,0.0
2006-05-12 00:00:00+00:00,-0.155,-0.08,-0.03,-0.185,0.095,-0.3,-0.115,-0.09,-0.055,-0.06,-0.045,-0.045,-0.045,-0.055,-0.02
2006-05-15 00:00:00+00:00,-0.135,-0.1,-0.03,-0.12,0.03,-0.215,-0.105,-0.08,-0.065,-0.06,-0.045,-0.05,-0.06,-0.06,-0.03
2006-05-16 00:00:00+00:00,-0.075,-0.03,-0.14,-0.01,0.03,-0.19,-0.09,-0.075,-0.055,-0.06,-0.045,-0.055,-0.045,-0.06,-0.005
2006-05-17 00:00:00+00:00,-0.07,-0.03,-0.15,0.0,0.03,-0.22,-0.1,-0.07,-0.06,-0.065,-0.045,-0.065,-0.045,-0.075,-0.02
2006-05-18 00:00:00+00:00,-0.075,-0.03,-0.14,-0.01,0.03,-0.195,-0.09,-0.065,-0.055,-0.055,-0.05,-0.06,-0.05,-0.055,-0.035
2006-05-19 00:00:00+00:00,-0.08,-0.015,-0.155,0.005,0.03,-0.22,-0.085,-0.06,-0.055,-0.06,-0.04,-0.055,-0.045,-0.055,-0.03
2006-05-22 00:00:00+00:00,-0.075,-0.035,-0.11,-0.04,0.03,-0.165,-0.08,-0.06,-0.05,-0.055,-0.035,-0.04,-0.045,-0.07,-0.025
2006-05-23 00:00:00+00:00,-0.07,-0.035,-0.11,-0.04,0.03,-0.165,-0.08,-0.06,-0.05,-0.065,-0.03,-0.055,-0.045,-0.055,-0.025
2006-05-24 00:00:00+00:00,-0.07,-0.045,-0.095,-0.055,0.03,-0.145,-0.08,-0.065,-0.055,-0.05,-0.035,-0.045,-0.04,-0.045,-0.03
2006-05-25 00:00:00+00:00,-0.075,-0.045,-0.1,-0.05,0.03,-0.15,-0.08,-0.065,-0.055,-0.06,-0.035,-0.04,-0.035,-0.05,-0.015
2006-05-26 00:00:00+00:00,-0.075,-0.045,-0.1,-0.05,0.03,-0.15,-0.09,-0.06,-0.045,-0.06,-0.035,-0.045,-0.035,-0.05,-0.02
2006-05-29 00:00:00+00:00,-0.08,-0.045,-0.105,-0.045,0.03,-0.16,-0.09,-0.07,-0.05,-0.055,-0.035,-0.05,-0.04,-0.045,-0.03
2006-05-30 00:00:00+00:00,-0.06,-0.045,-0.135,-0.015,0.03,-0.205,-0.095,-0.07,-0.05,-0.055,-0.03,-0.04,-0.045,-0.05,-0.025
2006-05-31 00:00:00+00:00,-0.065,-0.11,-0.085,0.025,0.03,-0.255,-0.11,-0.08,-0.05,-0.05,-0.045,-0.02,-0.05,-0.035,-0.02
2006-06-01 00:00:00+00:00,-0.08,-0.095,-0.085,0.025,0.03,-0.255,-0.11,-0.08,-0.05,-0.05,-0.03,-0.045,-0.03,-0.055,-0.025
2006-06-02 00:00:00+00:00,-0.1,-0.095,-0.05,-0.01,0.03,-0.21,-0.095,-0.075,-0.05,-0.045,-0.04,-0.045,-0.04,-0.05,-0.025
2006-06-05 00:00:00+00:00,-0.08,-0.095,-0.105,0.045,0.03,-0.275,-0.1,-0.075,-0.04,-0.06,-0.03,-0.04,-0.04,-0.035,-0.02
2006-06-06 00:00:00+00:00,-0.07,-0.095,-0.11,0.05,0.03,-0.29,-0.11,-0.08,-0.045,-0.045,-0.035,-0.035,-0.04,-0.05,-0.02
2006-06-07 00:00:00+00:00,-0.075,-0.095,-0.1,0.04,0.03,-0.285,-0.11,-0.08,-0.05,-0.055,-0.03,-0.04,-0.035,-0.05,-0.025
2006-06-08 00:00:00+00:00,-0.085,-0.145,-0.04,-0.02,0.03,-0.22,-0.1,-0.065,-0.055,-0.055,-0.035,-0.045,-0.025,-0.06,-0.015
2006-06-09 00:00:00+00:00,-0.085,-0.16,-0.01,-0.05,0.03,-0.18,-0.09,-0.07,-0.05,-0.06,-0.035,-0.06,-0.04,-0.06,-0.025
2006-06-12 00:00:00+00:00,-0.08,-0.095,-0.075,-0.055,0.03,-0.17,-0.095,-0.06,-0.045,-0.06,-0.035,-0.05,-0.045,-0.045,-0.03
